"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/07/2026";"0200";"25,4";"25,4";"25,3";"100,0";"100,0";"100,0";"25,4";"25,4";"25,3";"1002,7";"1002,8";"1002,6";"1,5";"";"3,4";"0,20";"0,0"
"05/07/2026";"0300";"24,3";"25,4";"24,3";"100,0";"100,0";"100,0";"24,2";"25,4";"24,2";"1003,1";"1003,3";"1002,7";"4,9";"";"9,1";"1,30";"3,2"
"05/07/2026";"0400";"23,9";"24,3";"23,9";"100,0";"100,0";"100,0";"23,9";"24,2";"23,9";"1002,5";"1003,1";"1002,5";"1,9";"";"7,3";"0,20";"0,2"
"05/07/2026";"0500";"24,2";"24,2";"23,9";"100,0";"100,0";"100,0";"24,2";"24,2";"23,9";"1001,7";"1002,5";"1001,7";"0,7";"";"3,1";"";"0,0"
"05/07/2026";"0600";"24,1";"24,2";"24,0";"100,0";"100,0";"100,0";"24,1";"24,2";"24,0";"1001,4";"1001,7";"1001,3";"0,7";"";"1,5";"";"0,0"
"05/07/2026";"0700";"24,1";"24,2";"24,0";"100,0";"100,0";"100,0";"24,1";"24,2";"24,0";"1001,2";"1001,4";"1001,1";"0,2";"";"1,9";"";"0,0"
"05/07/2026";"0800";"24,1";"24,1";"24,0";"100,0";"100,0";"100,0";"24,1";"24,1";"24,0";"1001,4";"1001,4";"1001,1";"0,6";"";"1,6";"";"0,0"
"05/07/2026";"0900";"24,0";"24,1";"24,0";"100,0";"100,0";"100,0";"24,0";"24,1";"24,0";"1001,6";"1001,6";"1001,3";"0,0";"";"2,0";"";"0,0"
"05/07/2026";"1000";"24,1";"24,1";"23,9";"100,0";"100,0";"100,0";"24,1";"24,1";"23,9";"1002,0";"1002,0";"1001,6";"0,4";"";"1,7";"63,70";"0,0"
"05/07/2026";"1100";"25,2";"25,4";"24,0";"99,0";"100,0";"97,0";"25,1";"25,3";"24,0";"1002,3";"1002,3";"1002,0";"2,5";"";"3,8";"713,00";"0,0"
"05/07/2026";"1200";"27,3";"27,3";"25,2";"91,0";"100,0";"90,0";"25,8";"25,8";"24,9";"1002,4";"1002,5";"1002,2";"4,1";"";"7,3";"1289,90";"0,0"
"05/07/2026";"1300";"28,6";"28,8";"27,0";"81,0";"91,0";"80,0";"25,0";"25,8";"24,7";"1002,7";"1002,8";"1002,3";"4,8";"";"9,4";"2231,60";"0,0"
"05/07/2026";"1400";"30,4";"30,4";"28,6";"71,0";"83,0";"71,0";"24,6";"25,7";"24,2";"1002,5";"1002,7";"1002,5";"5,6";"";"9,5";"2725,50";"0,0"
"05/07/2026";"1500";"31,0";"31,1";"30,4";"70,0";"73,0";"67,0";"24,8";"25,3";"24,2";"1002,2";"1002,5";"1002,1";"4,9";"";"8,9";"3037,60";"0,0"
"05/07/2026";"1600";"31,6";"31,7";"30,6";"65,0";"73,0";"65,0";"24,2";"25,5";"24,2";"1001,6";"1002,2";"1001,6";"4,3";"";"8,0";"2642,00";"0,0"
"05/07/2026";"1700";"31,6";"31,7";"30,7";"66,0";"74,0";"64,0";"24,6";"25,4";"23,7";"1000,6";"1001,6";"1000,6";"2,6";"";"7,6";"2524,30";"0,0"
"05/07/2026";"1800";"32,0";"32,2";"31,6";"63,0";"67,0";"61,0";"24,2";"25,0";"23,4";"999,8";"1000,6";"999,7";"2,5";"";"8,7";"2601,20";"0,0"
"05/07/2026";"1900";"31,5";"32,4";"31,4";"67,0";"69,0";"60,0";"24,6";"25,0";"22,8";"999,7";"999,8";"999,7";"4,4";"";"8,3";"1744,70";"0,0"
"05/07/2026";"2000";"31,0";"31,8";"30,9";"69,0";"72,0";"63,0";"24,6";"25,2";"23,9";"1000,0";"1000,0";"999,6";"2,9";"";"7,8";"937,90";"0,0"
"05/07/2026";"2100";"28,7";"31,2";"28,7";"90,0";"90,0";"66,0";"26,9";"26,9";"24,0";"1000,4";"1000,5";"999,8";"2,9";"";"5,7";"318,00";"0,0"
"05/07/2026";"2200";"27,6";"28,7";"27,6";"96,0";"96,0";"90,0";"26,9";"27,1";"26,7";"1000,8";"1000,8";"1000,3";"0,0";"";"5,7";"3,00";"0,0"
"05/07/2026";"2300";"26,5";"27,6";"26,5";"98,0";"100,0";"96,0";"26,1";"27,2";"26,1";"1001,8";"1001,8";"1000,8";"0,6";"";"2,8";"";"0,0"
"06/07/2026";"0000";"26,1";"26,5";"26,0";"98,0";"99,0";"96,0";"25,9";"26,1";"25,6";"1002,8";"1002,8";"1001,8";"0,2";"";"2,0";"";"0,0"
"06/07/2026";"0100";"22,9";"26,2";"22,8";"100,0";"100,0";"91,0";"22,9";"26,1";"22,8";"1003,5";"1004,0";"1002,8";"0,0";"";"13,6";"3,70";"11,2"
"06/07/2026";"0200";"23,4";"23,5";"22,9";"100,0";"100,0";"100,0";"23,4";"23,5";"22,9";"1003,5";"1003,7";"1003,3";"0,0";"";"0,0";"";"0,0"
"06/07/2026";"0300";"23,7";"23,9";"23,3";"100,0";"100,0";"100,0";"23,7";"23,9";"23,3";"1003,7";"1003,7";"1003,5";"0,0";"";"0,0";"";"0,0"
"06/07/2026";"0400";"24,0";"24,1";"23,7";"100,0";"100,0";"100,0";"24,0";"24,1";"23,8";"1003,2";"1003,7";"1003,2";"0,0";"";"0,0";"";"0,0"
"06/07/2026";"0500";"23,8";"24,0";"23,7";"100,0";"100,0";"100,0";"23,8";"24,0";"23,7";"1002,8";"1003,2";"1002,8";"0,0";"";"0,0";"";"0,0"
"06/07/2026";"0600";"23,6";"24,0";"23,6";"100,0";"100,0";"100,0";"23,6";"24,0";"23,6";"1002,4";"1002,8";"1002,4";"0,0";"";"0,0";"";"0,0"
"06/07/2026";"0700";"23,8";"23,9";"23,6";"100,0";"100,0";"100,0";"23,8";"23,9";"23,6";"1002,1";"1002,4";"1002,0";"0,0";"";"0,0";"";"0,0"
"06/07/2026";"0800";"23,8";"23,9";"23,7";"100,0";"100,0";"100,0";"23,8";"23,9";"23,7";"1002,3";"1002,3";"1002,1";"0,0";"";"0,0";"";"0,2"
